Line,Year,Date,W_L,Team,Gm,RYTD,RAYTD,RankR,GBR,D_1_N_0,Home,RealStreakN,RealStreakW,Teamb,Gmb,RYTDb,RAYTDb,RankRb,GBRb,RealStreakNb,RealStreakWb
115,2022,"Saturday, Aug 20 (2)",W,Phillies,120,545,482,3,-11,0,1,3,-1,Mets,120,579,450,1,3,2,-1
-125,2022,"Monday, Aug 21",L,Phillies,121,549,483,3,-11,1,1,1,1,Mets,121,580,454,1,3,1,-1
-230,2022,"Wednesday, Sep 6",W,Phillies,135,629,564,3,-11.5,0,1,3,-1,Marlins,135,471,563,4,-29,7,-1
-167,2022,"Thursday, Sep 7",W,Phillies,136,632,566,3,-10.5,0,1,1,-1,Marlins,136,473,566,4,-29,8,-1
-128,2022,"Friday, Sep 8",L,Phillies,137,636,569,3,-11,0,1,2,1,Marlins,137,476,570,4,-30.5,9,-1
-200,2022,"Saturday, Sep 9",W,Phillies,138,641,575,3,-11.5,0,1,1,-1,Nationals,138,532,731,5,-38,1,1
-240,2022,"Sunday, Sep 10",W,Phillies,139,646,578,3,-11,0,1,1,1,Nationals,139,535,736,5,-38.5,1,-1
-300,2022,"Monday, Sep 11",W,Phillies,140,654,583,3,-10.5,1,1,2,1,Nationals,140,540,744,5,-39,2,-1
105,2022,"Wednesday, Sep 13",W,Phillies,141,661,588,3,-10.5,0,0,3,1,Marlins,141,506,607,4,-30.5,1,-1
-135,2022,"Thursday, Sep 14",W,Phillies,142,663,589,3,-9,0,0,4,1,Marlins,142,507,609,4,-30.5,1,-1
-130,2022,"Friday, Sep 15",L,Phillies,143,669,590,3,-8,0,0,5,1,Marlins,143,508,615,4,-30.5,2,-1
180,2022,"Saturday, Sep 16",L,Phillies,144,672,595,3,-9,0,0,1,-1,Braves,144,705,546,2,-0.5,1,-1
-108,2022,"Sunday, Sep 17",L,Phillies,145,674,602,3,-10,0,0,2,-1,Braves,145,712,548,2,-1,1,1
210,2022,"Monday, Sep 18",L,Phillies,146,677,606,3,-11,1,0,3,-1,Braves,146,716,551,2,-1,2,1
130,2022,"Friday, Sep 22",W,Phillies,149,694,632,3,-12.5,0,1,1,1,Braves,149,731,560,2,-1,1,-1
-175,2022,"Saturday, Sep 23",W,Phillies,150,695,632,3,-12,0,1,2,1,Braves,150,731,561,2,-1.5,2,-1
105,2022,"Sunday, Sep 24",L,Phillies,151,704,633,3,-12,1,1,3,1,Braves,151,732,570,2,-2.5,3,-1
117,2022,"Monday, Sep 25",L,Phillies,152,707,639,3,-12,1,1,1,-1,Braves,152,738,573,2,-1.5,1,1
-220,2022,"Saturday, Sep 30",W,Phillies,156,717,655,3,-14.5,1,0,5,-1,Nationals,156,582,809,5,-43.5,1,-1
-204,2022,"Saturday, Oct 1 (1)",L,Phillies,157,722,656,3,-13.5,1,0,1,1,Nationals,157,583,814,5,-43.5,1,-1
-200,2022,"Saturday, Oct 1 (2)",W,Phillies,158,726,669,3,-14,0,0,1,-1,Nationals,158,596,818,5,-44,1,-1
-263,2022,"Monday, Oct 2",W,Phillies,159,734,671,3,-14,1,0,1,1,Nationals,159,598,826,5,-44,1,-1
-154,2022,"Tuesday, May 2",W,Twins,23,94,71,1,-3.5,0,0,2,1,Orioles,23,71,93,5,-9,2,1
-170,2022,"Wednesday, May 3",W,Twins,24,96,72,1,-4,0,0,3,1,Orioles,24,72,95,5,-10,1,-1
-133,2022,"Thursday, May 4",L,Twins,25,103,74,1,-3.5,0,0,4,1,Orioles,25,74,102,5,-9,2,-1
-160,2022,"Friday, May 5",L,Twins,26,107,83,1,-2.5,0,0,1,-1,Orioles,26,83,106,5,-8.5,1,1
-230,2022,"Saturday, Jul 1",W,Twins,80,356,312,1,-1.5,0,1,2,-1,Orioles,80,314,340,5,-21.5,2,-1
-250,2022,"Sunday, Jul 2",W,Twins,81,359,314,1,-3,1,1,1,1,Orioles,81,316,343,5,-23,3,-1
-155,2022,"Monday, Jul 3",L,Twins,82,363,317,1,-2,1,1,2,1,Orioles,82,319,347,5,-22,4,-1
-153,2022,"Wednesday, Jul 12",L,Twins,89,404,354,1,-3.5,0,1,1,1,Brewers,89,396,364,1,-2,2,-1
-125,2022,"Thursday, Jul 13",W,Twins,90,407,360,1,-4.5,1,1,1,-1,Brewers,90,402,367,1,-2,1,1
101,2022,"Wednesday, Jul 26",L,Twins,97,438,398,1,-2.5,0,0,2,1,Brewers,97,442,412,1,-3,1,-1
180,2022,"Thursday, Jul 27",L,Twins,98,444,405,1,-1.5,1,0,1,-1,Brewers,98,449,418,1,-3,1,1
